NAME,DP02_0001E,state,Year
NAME,Estimate_HOUSEHOLDS_BY_TYPE_Total_households,state,Year
Alabama,1933150,01,2022
Alaska,264376,02,2022
Arizona,2739136,04,2022
Arkansas,1171694,05,2022
California,13315822,06,2022
Colorado,2278044,08,2022
Connecticut,1409807,09,2022
Delaware,389000,10,2022
District of Columbia,315785,11,2022
Florida,8353441,12,2022
Georgia,3946490,13,2022
Hawaii,483906,15,2022
Idaho,675323,16,2022
Illinois,4968761,17,2022
Indiana,2653596,18,2022
Iowa,1290139,19,2022
Kansas,1148635,20,2022
Kentucky,1769102,21,2022
Louisiana,1765264,22,2022
Maine,580172,23,2022
Maryland,2318124,24,2022
Massachusetts,2740995,25,2022
Michigan,4009253,26,2022
Minnesota,2256126,27,2022
Mississippi,1121269,28,2022
Missouri,2458324,29,2022
Montana,443917,30,2022
Nebraska,776379,31,2022
Nevada,1163671,32,2022
New Hampshire,545116,33,2022
New Jersey,3438162,34,2022
New Mexico,812852,35,2022
New York,7604523,36,2022
North Carolina,4105232,37,2022
North Dakota,320038,38,2022
Ohio,4789408,39,2022
Oklahoma,1522711,40,2022
Oregon,1680800,41,2022
Pennsylvania,5193727,42,2022
Rhode Island,432219,44,2022
South Carolina,2023085,45,2022
South Dakota,351182,46,2022
Tennessee,2713635,47,2022
Texas,10490553,48,2022
Utah,1062819,49,2022
Vermont,265858,50,2022
Virginia,3289776,51,2022
Washington,2979272,53,2022
West Virginia,716040,54,2022
Wisconsin,2425488,55,2022
Wyoming,234156,56,2022
Puerto Rico,,72,2022
